"Datum";"Marzahn-Hellersdorf";"Mitte";"Neukoelln";"Tempelhof-Schoeneberg";"Friedrichshain-Kreuzberg";"Pankow";"Reinickendorf";"Charlottenburg-Wilmersdorf";"Spandau";"Lichtenberg";"Steglitz-Zehlendorf";"Treptow-Koepenick"
2020-03-03;1;3;1;1;0;0;0;0;0;0;0;0
2020-03-04;0;0;0;0;2;1;0;0;0;0;0;0
2020-03-05;0;4;0;0;2;2;2;0;0;0;0;0
2020-03-06;0;1;0;1;0;1;0;2;0;0;0;0
2020-03-07;0;0;0;0;0;0;0;1;0;0;0;0
2020-03-08;0;1;0;0;1;0;0;8;2;0;0;0
2020-03-09;1;0;3;3;3;2;1;1;3;3;2;0
2020-03-10;1;2;1;5;4;3;0;6;2;2;4;4
2020-03-11;0;9;4;1;2;6;2;9;1;1;7;0
2020-03-12;1;7;7;5;0;4;4;10;0;0;6;3
2020-03-13;0;7;3;7;10;9;2;12;1;1;4;3
2020-03-14;4;7;1;2;5;0;1;2;1;0;6;0
2020-03-15;2;8;2;1;2;0;0;6;2;0;3;0
2020-03-16;1;4;2;6;6;14;7;7;0;6;6;4
2020-03-17;6;20;6;11;4;8;3;13;0;6;7;9
2020-03-18;3;23;11;26;19;10;10;16;3;7;10;8
2020-03-19;4;25;25;15;20;17;11;26;5;7;13;12
2020-03-20;5;17;17;16;16;16;23;14;8;10;12;16
2020-03-21;8;25;13;15;21;15;0;7;7;0;15;1
2020-03-22;2;29;3;2;9;7;0;11;0;0;3;2
2020-03-23;2;20;14;13;9;9;30;24;9;10;7;12
2020-03-24;4;24;23;30;19;22;10;23;6;14;9;15
2020-03-25;4;26;31;30;46;18;14;37;9;5;8;17
2020-03-26;13;52;27;27;19;38;13;44;10;11;19;13
2020-03-27;6;46;25;23;20;32;8;16;6;6;6;11
2020-03-28;11;26;40;10;14;11;3;21;14;0;40;7
2020-03-29;2;16;0;10;5;11;14;6;5;0;12;6
2020-03-30;4;15;10;20;13;13;16;37;3;19;9;8
2020-03-31;7;46;16;24;10;19;17;24;3;11;28;8
2020-04-01;8;19;35;16;22;13;7;24;9;4;24;6
2020-04-02;7;36;32;19;24;21;17;31;10;11;21;9
2020-04-03;8;9;36;31;17;37;20;16;22;8;19;16
2020-04-04;8;18;12;22;5;10;7;4;9;0;12;1
2020-04-05;3;5;0;10;2;8;25;5;2;11;4;3
2020-04-06;7;36;23;9;4;12;12;19;4;0;12;6
2020-04-07;10;32;14;18;9;18;13;41;14;3;17;13
2020-04-08;9;13;20;19;5;18;30;20;9;7;17;11
2020-04-09;8;28;21;18;14;27;13;12;3;8;13;11
2020-04-10;3;23;8;11;6;4;4;7;1;3;9;3
2020-04-11;4;33;4;2;5;8;5;3;3;2;15;3
2020-04-12;5;9;0;5;3;7;11;7;0;2;5;0
2020-04-13;6;14;5;2;2;5;10;4;0;0;9;2
2020-04-14;2;12;11;6;3;7;9;6;4;1;5;8
2020-04-15;10;16;9;17;7;6;19;14;5;4;5;1
2020-04-16;6;12;13;8;4;12;3;14;8;10;3;1
2020-04-17;9;17;11;8;4;31;6;8;9;2;13;3
2020-04-18;6;4;11;9;5;12;6;4;7;2;4;12
2020-04-19;4;5;0;3;4;4;2;5;1;0;4;1
2020-04-20;6;5;12;6;2;4;2;2;3;2;0;1
2020-04-21;15;4;15;1;5;9;5;9;1;4;3;4
2020-04-22;10;10;10;12;9;6;4;7;4;1;6;2
2020-04-23;12;7;12;11;5;7;5;13;1;1;5;8
2020-04-24;9;4;13;7;4;15;4;5;1;5;1;5
2020-04-25;3;9;6;0;2;1;5;4;1;19;2;3
2020-04-26;8;2;0;1;0;1;0;3;0;0;1;5
2020-04-27;0;16;13;2;1;3;1;4;3;3;6;4
2020-04-28;8;7;6;13;2;5;5;4;4;12;12;1
2020-04-29;6;12;11;6;3;3;7;4;2;4;4;6
2020-04-30;6;5;11;3;3;12;1;1;3;5;1;6
2020-05-01;2;4;1;6;1;0;4;3;0;0;2;2
2020-05-02;4;3;5;0;1;9;1;2;0;3;2;1
2020-05-03;9;0;0;8;0;2;1;3;4;1;4;0
2020-05-04;6;6;2;6;5;4;5;3;0;5;8;2
2020-05-05;4;11;4;4;5;6;3;4;3;5;2;2
2020-05-06;4;8;7;9;7;5;5;4;5;3;1;0
2020-05-07;2;4;7;5;3;6;2;4;5;1;9;10
2020-05-08;0;0;0;3;0;0;0;0;1;0;0;0
2020-05-09;0;2;1;3;0;3;0;5;0;2;0;1
2020-05-10;2;0;1;1;0;0;2;0;1;0;1;0
2020-05-11;1;1;3;3;2;3;0;2;0;0;1;1
2020-05-12;1;6;12;0;3;0;3;3;2;6;0;1
2020-05-13;2;3;6;10;4;9;3;7;5;1;4;4
2020-05-14;0;6;6;2;2;1;2;3;19;0;2;2
2020-05-15;2;3;2;1;0;1;1;1;2;1;1;1
2020-05-16;2;0;4;0;2;0;0;2;2;2;2;0
2020-05-17;2;0;1;2;2;1;0;0;0;0;0;0
2020-05-18;1;3;5;0;1;12;3;0;3;0;3;2
2020-05-19;2;13;3;1;7;12;1;1;1;1;2;2
2020-05-20;8;3;5;3;8;6;3;5;2;0;5;0
2020-05-21;0;0;1;1;0;0;1;3;3;1;0;0
2020-05-22;0;2;7;2;4;9;1;2;1;6;1;1
2020-05-23;1;1;0;1;0;1;1;1;0;1;1;0
2020-05-24;0;0;1;0;0;0;0;1;1;0;0;0
2020-05-25;1;6;4;0;2;0;0;1;0;1;6;1
2020-05-26;2;0;2;2;1;1;3;0;2;6;0;3
2020-05-27;4;6;6;4;1;4;5;1;2;7;1;1
2020-05-28;1;4;1;5;2;0;1;4;1;6;0;0
2020-05-29;4;7;4;0;1;1;5;1;0;3;2;2
2020-05-30;4;0;3;1;0;0;8;2;1;4;0;0
2020-05-31;0;7;0;0;2;0;0;1;6;9;2;0
2020-06-01;0;1;0;0;0;0;1;0;0;0;0;0
2020-06-02;1;5;2;8;12;5;2;0;5;1;0;0
2020-06-03;7;4;6;0;8;3;0;1;12;7;7;0
2020-06-04;1;4;7;1;6;0;2;4;0;7;0;0
2020-06-05;1;5;8;1;0;4;4;2;6;4;0;0
2020-06-06;2;0;1;2;4;0;0;0;5;0;2;0
2020-06-07;1;0;3;0;1;1;0;0;1;1;0;0
2020-06-08;0;6;7;0;0;3;2;2;0;0;2;7
2020-06-09;1;7;8;16;7;2;7;2;2;4;1;0
2020-06-10;4;6;36;4;1;2;5;2;16;4;0;0
2020-06-11;4;9;5;3;2;3;8;7;3;3;2;1
2020-06-12;3;2;11;1;1;3;8;3;6;1;2;1
2020-06-13;1;25;13;6;2;0;5;3;5;6;2;0
2020-06-14;1;1;2;0;0;3;2;0;1;2;0;0
2020-06-15;4;12;5;0;1;1;0;0;0;0;1;7
2020-06-16;8;6;19;1;4;8;8;7;7;4;0;3
2020-06-17;3;9;26;5;18;3;6;4;1;4;0;6
2020-06-18;5;22;24;16;7;2;15;10;11;7;3;6
2020-06-19;9;23;7;8;35;5;13;13;20;2;1;1
2020-06-20;5;0;5;4;6;0;6;5;2;0;2;0
2020-06-21;14;0;3;3;0;0;0;0;0;0;0;0
2020-06-22;0;8;6;6;4;6;6;6;9;6;2;4
2020-06-23;4;4;11;11;3;5;11;3;0;9;4;5
2020-06-24;3;7;14;4;4;2;7;4;7;3;0;3
2020-06-25;3;10;9;12;2;1;5;5;6;5;2;2
2020-06-26;3;11;9;1;4;1;2;3;2;0;6;1
2020-06-27;1;0;6;2;2;0;1;0;5;0;0;0
2020-06-28;0;0;2;0;0;0;0;0;0;0;0;0
2020-06-29;1;14;9;1;6;4;3;3;1;10;0;1
2020-06-30;0;10;5;3;1;0;9;4;1;1;1;0
2020-07-01;6;8;8;1;5;6;3;3;2;3;1;0
2020-07-02;3;10;6;2;12;2;5;3;3;7;2;2
2020-07-03;4;5;5;5;4;3;3;2;1;6;0;3
2020-07-04;0;13;2;11;1;0;0;2;1;0;1;0
2020-07-05;0;0;0;1;0;0;1;0;0;0;0;0
2020-07-06;3;7;4;1;0;6;0;2;3;5;2;0
2020-07-07;2;10;1;2;4;3;2;3;1;7;2;0
2020-07-08;10;4;4;3;3;1;2;0;2;16;1;0
2020-07-09;6;5;4;2;4;1;3;2;3;2;2;0
2020-07-10;1;7;7;0;3;2;2;2;2;2;4;2
2020-07-11;0;0;1;1;0;0;2;0;0;0;0;0
2020-07-12;0;0;0;1;0;0;0;0;0;0;0;0
2020-07-13;0;8;0;1;1;4;1;1;0;10;1;0
2020-07-14;1;2;0;5;0;1;2;2;0;11;1;0
2020-07-15;1;2;8;5;0;1;1;2;0;1;2;1
2020-07-16;3;0;1;3;0;0;0;4;0;3;2;0
2020-07-17;0;4;2;1;6;2;1;0;1;1;2;1
2020-07-18;0;0;1;1;0;0;3;9;2;0;3;0
2020-07-19;0;0;0;0;0;0;0;0;0;0;0;0
2020-07-20;0;6;6;2;1;2;4;2;1;1;6;0
2020-07-21;3;11;0;2;1;1;5;1;4;2;3;0
2020-07-22;4;2;4;1;1;3;2;5;3;2;0;0
2020-07-23;2;12;2;2;5;4;6;2;5;2;1;4
2020-07-24;2;7;8;4;5;10;4;7;2;8;3;1
2020-07-25;1;3;0;4;2;0;4;0;2;0;2;0
2020-07-26;0;0;0;3;0;0;0;0;0;0;0;0
2020-07-27;1;4;8;1;2;7;1;3;11;2;1;0
2020-07-28;1;15;6;5;3;1;7;6;11;6;2;1
2020-07-29;2;6;11;6;9;7;10;6;5;4;2;1
2020-07-30;4;3;10;1;10;1;7;3;10;0;0;1
2020-07-31;4;23;9;4;10;5;3;6;4;2;5;1
2020-08-01;4;6;12;4;1;0;1;0;2;1;3;0
2020-08-02;0;0;0;0;0;0;0;0;0;0;0;0
2020-08-03;0;3;5;1;5;4;2;11;5;4;2;6
2020-08-04;4;9;2;4;6;6;8;8;2;0;4;4
2020-08-05;2;13;7;9;5;2;2;16;1;6;2;2
2020-08-06;2;21;13;7;7;8;1;6;4;4;4;6
2020-08-07;2;30;19;6;16;4;7;3;2;8;1;4
2020-08-08;3;0;4;4;0;0;4;0;3;0;1;0
2020-08-09;2;0;2;1;0;0;0;0;1;0;0;0
2020-08-10;3;15;14;1;14;5;7;9;8;17;0;3
2020-08-11;4;23;21;11;8;8;7;10;6;4;3;0
2020-08-12;4;30;20;7;23;10;13;7;8;12;3;7
2020-08-13;1;19;15;9;8;3;9;7;5;2;2;9
2020-08-14;1;21;9;5;15;3;13;6;0;0;2;0
2020-08-15;0;4;7;11;2;0;3;3;2;1;0;0
2020-08-16;0;0;2;0;0;0;0;1;0;0;0;0
2020-08-17;1;16;16;5;12;10;4;17;1;10;5;2
2020-08-18;5;13;10;12;6;7;6;1;2;1;12;1
2020-08-19;1;13;7;3;7;3;4;10;4;4;11;4
2020-08-20;5;27;12;4;10;6;5;10;3;15;9;4
2020-08-21;2;11;5;4;19;5;10;6;5;1;6;3
2020-08-22;4;1;2;5;1;0;6;4;5;0;4;0
2020-08-23;0;0;0;0;0;0;0;0;1;0;0;0
2020-08-24;0;9;18;10;8;10;2;5;8;12;10;3
2020-08-25;0;9;12;3;8;8;3;11;3;3;5;2
2020-08-26;2;20;15;7;14;13;1;4;11;6;4;2
2020-08-27;1;16;11;6;11;9;2;7;1;8;3;1
2020-08-28;4;19;15;12;13;5;7;4;8;7;9;0
2020-08-29;5;0;6;5;3;1;3;10;0;0;2;0
2020-08-30;0;0;2;2;0;0;0;0;0;0;1;0
2020-08-31;0;33;7;5;19;28;1;10;6;6;4;4
2020-09-01;0;15;5;6;5;10;3;10;4;2;7;1
2020-09-02;3;9;13;5;10;5;5;12;10;3;4;6
2020-09-03;2;15;9;5;12;4;9;6;2;8;5;0
2020-09-04;2;15;12;12;29;11;6;7;8;8;7;2
2020-09-05;1;0;0;9;19;0;6;3;3;0;6;0
2020-09-06;1;0;0;1;0;0;1;0;0;0;0;0
2020-09-07;7;20;34;2;15;16;2;13;3;9;6;5
2020-09-08;0;14;1;9;10;6;3;3;4;1;3;2
2020-09-09;2;27;21;5;17;10;9;9;5;3;0;5
2020-09-10;4;22;20;21;28;7;2;8;5;12;3;4
2020-09-11;3;15;10;17;11;6;5;8;9;1;4;0
2020-09-12;4;0;10;10;6;0;4;2;3;0;3;0
2020-09-13;1;0;4;1;0;0;0;0;0;0;0;0
2020-09-14;1;33;3;7;30;0;2;7;3;7;0;2
2020-09-15;6;17;10;18;11;20;8;10;2;6;4;5
2020-09-16;9;30;23;14;28;12;8;14;9;4;14;10
2020-09-17;11;25;26;18;28;10;7;16;12;10;11;2
2020-09-18;6;29;25;15;41;11;7;23;6;8;17;4
2020-09-19;9;0;12;5;5;0;6;14;7;0;0;0
2020-09-20;5;0;8;10;0;0;0;0;0;5;0;0
2020-09-21;2;56;15;8;24;25;0;23;13;9;13;5
2020-09-22;5;24;26;17;24;18;12;24;5;4;8;2
2020-09-23;14;17;17;24;19;25;13;15;8;8;21;5
2020-09-24;2;55;39;23;21;15;12;19;8;2;18;13
2020-09-25;5;41;17;26;23;11;13;27;18;11;8;6
2020-09-26;4;18;1;19;21;0;7;8;3;0;2;0
2020-09-27;1;0;8;7;0;0;12;0;0;0;0;0
2020-09-28;3;36;39;15;31;14;9;25;7;11;6;7
2020-09-29;5;32;45;18;26;12;17;17;14;9;11;12
2020-09-30;8;53;50;31;22;20;15;37;12;8;8;12
2020-10-01;4;51;12;47;33;28;15;39;18;25;29;14
2020-10-02;15;49;57;45;37;20;27;16;19;17;10;28
2020-10-03;11;0;16;13;20;0;9;16;4;0;9;0
2020-10-04;1;0;70;19;0;0;2;0;10;0;9;0
2020-10-05;3;62;40;30;39;24;15;31;9;15;27;21
2020-10-06;8;69;72;43;17;18;14;29;10;13;25;8
2020-10-07;13;79;115;58;50;35;31;36;23;11;33;13
2020-10-08;9;82;108;49;24;27;54;35;22;13;18;18
